,Ġsleep,Ġduring,.,ency,way,Ġthe,Ġpat,Ġo,Ġmaintenance,al,Ġupper,ĠPrevious,Ġof,aryn,ge,Ġcontributes,Ġto,Ġair,Ġloud,Ġthe,Ġpresence,Ġstudies,Ġthat,Ġsleep,Ġmechanism,way,Ġreflex,Ġan,Ġsupport,Ġupper,orers,Ġin,Ġanesthesia,Ġair,Ġof,roph,Ġap,Ġtopical,ive,Ġsn,nea,.,Ġfollowing,struct,Ob
Ġupper,0.0,0.0,0.0,0.0,0.0,0.007836071,0.0,0.0007018289,0.022885107,0.0031611428,0.12335568,0.0012524998,0.045801878,0.0018075644,0.009233364,0.015919542,0.037546545,0.0,0.0018876126,0.0022956738,0.009434895,0.002447906,0.026211012,0.007463106,0.033355407,0.04592268,0.09255471,0.018507145,0.01559969,0.05065144,0.009743019,0.0048376815,0.01169783,0.17056747,0.039415237,0.002082742,0.0211804,0.00091517373,0.01250314,0.010423324,0.033916656,0.026726881,0.021400196,0.051427998,0.007329787
ĠPrevious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009334781,0.0,0.006317758,0.0,0.12916248,0.0,0.014341873,0.012419303,0.0,0.0,0.0,0.0021951322,0.0,0.0,0.0,0.0,0.012146453,0.0,0.0,0.0,0.0,0.0,0.0,0.034511257,0.005143842,0.033764068,0.0,0.0,0.0380548,0.06184375,0.0047556753,0.0085175345,0.04724135,0.034714177,0.19521634,0.017750157,0.083668165,0.24890116
Ġof,0.0,0.0,0.0,0.0,0.0,0.01483416,0.0,0.0020590618,0.022921544,0.00664171,0.0,0.0010369996,0.08936717,0.007188557,0.011231275,0.01386889,0.06310755,0.0,0.010449493,0.005965369,0.011501047,0.009112442,0.019397737,0.0055506458,0.017332023,0.033345312,0.030277252,0.049990173,0.024942746,0.04480311,0.011091287,0.012160515,0.0134124,0.010711091,0.06357868,0.017465813,0.017212821,0.01856803,0.011212482,0.08354553,0.03197129,0.027958488,0.088232465,0.031411864,0.06654297
aryn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00771369,0.0,0.0,0.0,0.0,0.0,0.03374902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07305584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04228731,0.01852011,0.048258226,0.0658197,0.0,0.3421317,0.0,0.2984786,0.067425,0.0025608086
ge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015195787,0.0,0.0,0.0,0.0,0.0,0.017415117,0.036637787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042694796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08646732,0.06946492,0.019913673,0.054811995,0.0,0.1046456,0.0,0.29645175,0.25281373,0.003487531
Ġcontributes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008394874,0.0,0.0019972115,0.0,0.008916211,0.0,0.0060559926,0.002863147,0.08463505,0.0,0.0,0.0020098595,0.034325916,0.02977912,0.055327874,0.022984063,0.0019923632,0.030092392,0.008757388,0.02128904,0.01871455,0.025131788,0.014746669,0.046375643,0.035166033,0.029576557,0.0053224447,0.02069671,0.0031724372,0.014100632,0.005686077,0.0048326696,0.008430142,0.036737327,0.26364288,0.021475406,0.012270122,0.114501365
Ġto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001277255,0.0,0.004051276,0.0,0.0006809958,0.0,0.009230685,0.006697844,0.011871637,0.041669264,0.0,0.0082367975,0.0060596904,0.025153412,0.009504518,0.019361867,0.0063772635,0.02088502,0.03328597,0.03266921,0.041855734,0.016714854,0.026072232,0.021399098,0.010673529,0.022452919,0.013983049,0.035416033,0.021869123,0.022239555,0.007685741,0.011959377,0.17143281,0.048689116,0.030254096,0.03402824,0.0516738,0.174588
Ġair,0.0,0.0,0.0,0.0,0.0,0.016533466,0.0,0.0008483833,0.06414789,0.0006192665,0.005929175,0.0010274063,0.044286333,0.00028856943,0.00043351413,0.039764907,0.040993534,0.3002544,0.0010464434,0.0034541178,0.013648688,0.0021993283,0.06868581,0.0025625043,0.09729919,0.017530825,0.09323394,0.0095486995,0.011372388,0.0036359606,0.002613051,0.001583851,0.0058743344,0.0404842,0.028068647,0.005572032,0.0063299835,0.0008719538,0.003009701,0.0012538058,0.01838228,0.015337871,0.013915071,0.012983456,0.0043750005
Ġloud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036634968,0.0,0.0114092855,0.0,0.0,0.0,0.005332742,0.011240615,0.0,0.0,0.0,0.27063072,0.0,0.0,0.0,0.0,0.0025594495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060419004,0.067693464,0.0,0.0,0.02108624,0.03683576,0.013418383,0.015758658,0.0,0.102062464,0.0,0.11190175,0.11964391,0.14634405
Ġthe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017504362,0.0,0.022214798,0.0,0.026782513,0.0,0.014443669,0.008292893,0.0,0.0,0.0,0.009375618,0.070289746,0.0,0.026873806,0.0,0.034099802,0.0,0.0,0.0,0.0,0.04052292,0.0,0.06229972,0.054266047,0.046364658,0.0,0.0,0.018256601,0.020369202,0.0306029,0.021281691,0.061526623,0.07378468,0.13259123,0.11187856,0.04638499,0.049992986
Ġpresence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044727763,0.0,0.004239138,0.0,0.013113891,0.0,0.006809128,0.010607108,0.0,0.0,0.0,0.0039088153,0.042031612,0.04596611,0.060033917,0.0,0.0059222546,0.0,0.0,0.0,0.0,0.04949872,0.0,0.07087961,0.05267819,0.041632332,0.0,0.0,0.007568263,0.02221765,0.018546509,0.009585396,0.03357645,0.05427193,0.23525861,0.05001654,0.05583718,0.10132782
Ġstudies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02990139,0.0,0.002484396,0.0,0.036882643,0.0,0.005281899,0.0063551595,0.0,0.0,0.0,0.0026781766,0.0,0.0,0.04681224,0.0,0.0028002993,0.0,0.0,0.0,0.0,0.0,0.0,0.01251272,0.04350089,0.022700477,0.0,0.0,0.04386411,0.009900284,0.012918341,0.005283063,0.145419,0.012112631,0.28460202,0.015194381,0.011552036,0.24724378
Ġthat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007029021,0.0,0.007729166,0.0,0.0018537055,0.0,0.011847532,0.008672464,0.0,0.0,0.0,0.003159282,0.06526575,0.018835109,0.012443641,0.15996003,0.0048133875,0.03231637,0.01721552,0.027173836,0.04988657,0.072961055,0.021209458,0.014271332,0.022805186,0.048683267,0.0062436583,0.050438423,0.014453707,0.006280982,0.03472471,0.010226795,0.06538432,0.020127162,0.058247276,0.075224146,0.015160317,0.035356775
Ġsleep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052812282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085570745,0.0,0.0,0.0,0.0,0.16949968,0.6921173
Ġmechanism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034013104,0.0,0.0032914528,0.0,0.013566695,0.0,0.0039789015,0.003442978,0.0,0.0,0.0,0.0044627185,0.041036077,0.01515187,0.02538312,0.0,0.0036685872,0.043211684,0.019110862,0.026403911,0.039326716,0.038287267,0.025721388,0.040755738,0.030157527,0.02571601,0.0050404966,0.03011075,0.013276041,0.007459299,0.0065073296,0.005876643,0.031457495,0.029306583,0.16400003,0.042655226,0.010750296,0.24748494
way,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009060593,0.0,0.005645617,0.0,0.0038271053,0.0,0.0021869051,0.0016971674,0.0,0.0,0.0,0.0037177796,0.013673271,0.0278498,0.0037410683,0.0,0.01013174,0.0,0.26625195,0.0,0.049736243,0.026419124,0.03350371,0.03281549,0.0054074023,0.036178265,0.109339066,0.10112353,0.012599598,0.0031712116,0.014740504,0.0130904,0.0041915863,0.0849938,0.05625394,0.052036636,0.01797976,0.0067913085
Ġreflex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004425212,0.0,0.010003841,0.0,0.0045912876,0.0,0.014831986,0.004745774,0.0,0.0,0.0,0.0064213406,0.026022445,0.040157713,0.017844195,0.0,0.0059528635,0.0,0.037640437,0.088166066,0.02430996,0.042320132,0.015842412,0.034710627,0.013825635,0.03896903,0.008659131,0.035117526,0.018728245,0.010860383,0.012953984,0.013498221,0.04591768,0.05121213,0.21400122,0.051366605,0.016114961,0.09078897
Ġan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044661975,0.0,0.0117891645,0.0,0.005597326,0.0,0.011895829,0.014057035,0.0,0.0,0.0,0.0070585827,0.024370883,0.030958539,0.007600517,0.0,0.013315717,0.0,0.0,0.0,0.12563853,0.052007437,0.0,0.04296875,0.013071014,0.021146564,0.0,0.1365863,0.0069362763,0.005017651,0.013778363,0.033551347,0.04962781,0.068988785,0.11159006,0.0946839,0.024202924,0.06909458
Ġsupport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007968112,0.0,0.010384077,0.0,0.010663046,0.0,0.0145767545,0.010611896,0.0,0.0,0.0,0.01096791,0.0,0.0,0.03857568,0.0,0.012292837,0.0,0.0,0.0,0.0,0.036949255,0.0,0.05466042,0.033193495,0.06514614,0.0,0.0,0.048410114,0.023671936,0.033910133,0.019107668,0.11324117,0.07568513,0.09391111,0.05937326,0.062321413,0.16437842
Ġupper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011467045,0.0,0.00256145,0.0,0.006533327,0.0,0.0009939101,0.005835975,0.0,0.0,0.0,0.0026744993,0.005069672,0.017424706,0.006921323,0.0,0.011032005,0.0,0.0,0.0,0.06250517,0.02295977,0.3631264,0.03722213,0.0062290984,0.019766284,0.0,0.07565847,0.0010002455,0.022835063,0.002247088,0.027070269,0.016338343,0.06164854,0.09450773,0.017651789,0.08968571,0.019354332
orers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014732165,0.0,0.0037987074,0.0,0.0,0.0,0.006841068,0.013436905,0.0,0.0,0.0,0.006466063,0.0,0.0,0.0,0.0,0.004293538,0.0,0.0,0.0,0.0,0.0,0.0,0.11656828,0.042078577,0.029827721,0.0,0.0,0.02011828,0.0082308,0.0077534434,0.008485415,0.09834841,0.026391637,0.0,0.013023571,0.024955899,0.56790847
Ġin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00597778,0.0,0.018466614,0.0,0.0,0.0,0.031657655,0.025497735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010100299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34066606,0.09053589,0.0,0.0,0.018307539,0.01493433,0.039122615,0.015864803,0.0,0.12066718,0.0,0.16364768,0.04452943,0.060024336
Ġanesthesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051161046,0.0,0.008535913,0.0,0.0,0.0,0.014681648,0.017562361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056872778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075348064,0.0,0.0,0.13526037,0.013289283,0.023208708,0.016931577,0.0,0.029443972,0.0,0.023097763,0.056046717,0.5757902
Ġair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003647293,0.0,0.0012734182,0.0,0.0018481825,0.0,0.00012145479,0.00022100059,0.0,0.0,0.0,0.0023605186,0.008217863,0.04945946,0.0018792046,0.0,0.0011299934,0.0,0.0,0.0,0.031125447,0.026219383,0.010218272,0.005654678,0.003129303,0.00637785,0.57757175,0.14403722,0.0032820718,0.0011713821,0.0028343273,0.0052476805,0.0011761249,0.032578606,0.02461121,0.022271387,0.028008671,0.0076088235
Ġof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004498764,0.0,0.008041818,0.0,0.0027932138,0.0,0.01075155,0.01945144,0.0,0.0,0.0,0.013450908,0.0068438286,0.030891292,0.008824888,0.0,0.011220439,0.0,0.0,0.0,0.0,0.018016867,0.0,0.043432154,0.012984407,0.034533035,0.0,0.09039859,0.023654234,0.014307432,0.025111364,0.03087456,0.14094524,0.07220815,0.060750745,0.04709585,0.086479895,0.18243937
roph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008889245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035770163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0902687,0.017025176,0.0659413,0.09484996,0.0,0.1587551,0.0,0.28322777,0.23347014,0.011802445
Ġap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020711785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20448436,0.0,0.036160972,0.0,0.0,0.0,0.0,0.6997961,0.03884677
Ġtopical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011460579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028320363,0.22999057,0.065079235,0.0,0.09293688,0.0,0.11090729,0.4015937,0.059711363
ive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3215397,0.0,0.0,0.0,0.0,0.62139475,0.05706559
Ġsn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022163785,0.0,0.004969898,0.0,0.0,0.0,0.021482617,0.010311287,0.0,0.0,0.0,0.012960993,0.0,0.0,0.0,0.0,0.028918484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04042223,0.04350141,0.0,0.0,0.0167845,0.062321305,0.008568828,0.043471478,0.061963838,0.053549778,0.0,0.2524228,0.1526533,0.18348084
nea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006798115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03408044,0.0,0.030992555,0.0,0.058357704,0.0,0.0,0.09100014,0.77877104
.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022267967,0.0,0.004324655,0.0,0.0,0.0,0.013145173,0.020011853,0.0,0.0,0.0,0.0036353536,0.0,0.0,0.0,0.0,0.008109905,0.0,0.0,0.0,0.0,0.0,0.0,0.049374595,0.011358801,0.031805947,0.0,0.0,0.03301736,0.010694811,0.009648573,0.023299258,0.01718481,0.03182805,0.2712328,0.0151388375,0.05253569,0.3914267
Ġfollowing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02817869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08140088,0.0,0.05433003,0.0,0.27402258,0.0,0.29148042,0.112631805,0.1579556
struct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5010879,0.4989121
Ob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
