,Ġsleep,Ġduring,way,ency,.,Ġthe,al,Ġo,Ġupper,Ġair,Ġcontributes,Ġpat,Ġmaintenance,Ġstudies,aryn,Ġof,Ġthe,Ġto,Ġsleep,ge,Ġloud,way,ĠPrevious,Ġpresence,Ġupper,Ġan,Ġair,Ġsupport,Ġthat,Ġmechanism,orers,Ġin,Ġreflex,Ġtopical,Ġanesthesia,ive,Ġap,Ġof,nea,roph,.,Ġfollowing,Ġsn,struct,Ob
Ġthe,0.0,0.0,0.0,0.0,0.0,0.0,0.010185603,0.01522628,0.0,0.0,0.0,0.0,0.0,0.014779653,0.010455861,0.0,0.067048416,0.0,0.024830148,0.009922882,0.008515687,0.0,0.092265494,0.0,0.0,0.0,0.0,0.04027735,0.0,0.0,0.031092469,0.052566964,0.0,0.020743782,0.03781467,0.02212708,0.024833994,0.0,0.029449048,0.033697568,0.11441103,0.08286641,0.101916894,0.061945308,0.09302735
Ġto,0.0,0.0,0.0,0.0,0.0,0.0,0.0015843008,0.00076118443,0.0,0.0,0.0041673603,0.0,0.0,0.0055985413,0.00950712,0.0,0.0017574565,0.028939039,0.0018389447,0.007539533,0.003888458,0.0157008,0.0018334637,0.015648942,0.01614829,0.017109003,0.0054470906,0.006893656,0.010062141,0.019491721,0.023879478,0.0042281514,0.04028255,0.0021222394,0.018385133,0.0064229234,0.03694448,0.029450199,0.013572854,0.032125622,0.015052036,0.008448556,0.3183194,0.050932463,0.22591683
Ġsleep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02470328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019832049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044582553,0.91088206
ge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014875895,0.0,0.0,0.0,0.0,0.0,0.0,0.029337432,0.0,0.0,0.0,0.044530645,0.089801215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01582434,0.0,0.06884126,0.09676349,0.0,0.08978287,0.11826566,0.0,0.15172124,0.0,0.26085797,0.019397931
Ġloud,0.0,0.0,0.0,0.0,0.0,0.0,0.0059714243,0.008371185,0.0,0.0,0.0,0.0,0.0,0.0,0.0064251097,0.0,0.0,0.0,0.001703391,0.01074348,0.24851683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049273808,0.0,0.018977145,0.11069126,0.020119566,0.07962532,0.0,0.060222164,0.09676911,0.0,0.0893874,0.0,0.11865761,0.07454516
way,0.0,0.0,0.0,0.0,0.0,0.0,0.0031396672,0.0006551046,0.0,0.0,0.0,0.0,0.0,0.0029101893,0.004982821,0.0,0.008740692,0.0,0.010611771,0.0039261635,0.001847893,0.16067386,0.0052393824,0.024617534,0.022091718,0.041044164,0.043384433,0.018844314,0.0,0.0,0.049994215,0.0033819496,0.0,0.009871398,0.058474496,0.023704786,0.012905435,0.13218644,0.047864426,0.038768433,0.03613316,0.04484365,0.025013795,0.06637205,0.09777601
ĠPrevious,0.0,0.0,0.0,0.0,0.0,0.0,0.005839489,0.016819144,0.0,0.0,0.0,0.0,0.0,0.0,0.026720963,0.0,0.0,0.0,0.004659622,0.017105764,0.003556151,0.0,0.030254852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023315614,0.004769567,0.0,0.0046483595,0.057761036,0.0045270347,0.08882401,0.0,0.017696546,0.08860922,0.11275901,0.0074881623,0.24370453,0.034278627,0.20666225
Ġpresence,0.0,0.0,0.0,0.0,0.0,0.0,0.0031128805,0.0036733216,0.0,0.0,0.0,0.0,0.0,0.030376447,0.010428797,0.0,0.038651556,0.0,0.0037316517,0.010558267,0.0048830286,0.0,0.028012786,0.026258556,0.0,0.0,0.0,0.04423379,0.0,0.0,0.04467703,0.03630024,0.0,0.015726168,0.039276443,0.01226904,0.025784312,0.0,0.021173287,0.019233646,0.14767103,0.03346201,0.10892513,0.046285525,0.24529517
Ġupper,0.0,0.0,0.0,0.0,0.0,0.0,0.00065937854,0.00066354475,0.0,0.0,0.0,0.0,0.0,0.0030940045,0.0008708143,0.0,0.003243304,0.0,0.0014721202,0.0068546445,0.001458466,0.0,0.0055970605,0.017455813,0.2589611,0.06257647,0.0,0.024054741,0.0,0.0,0.0528211,0.005908312,0.0,0.0006967757,0.03121594,0.02501377,0.038789436,0.11730402,0.024988735,0.0020868503,0.038633056,0.009848032,0.07535879,0.083749354,0.10662434
Ġan,0.0,0.0,0.0,0.0,0.0,0.0,0.0030465012,0.0017234446,0.0,0.0,0.0,0.0,0.0,0.0027964825,0.008094059,0.0,0.011516351,0.0,0.005434501,0.016183326,0.004109835,0.0,0.013111744,0.018903427,0.0,0.09906921,0.0,0.040919214,0.0,0.0,0.031095684,0.0089492025,0.0,0.004857752,0.016070215,0.029488808,0.011301581,0.1718272,0.02390575,0.02457851,0.05859129,0.058533195,0.18210028,0.026625937,0.1271664
Ġair,0.0,0.0,0.0,0.0,0.0,0.0,0.0009293245,0.0008946312,0.0,0.0,0.0,0.0,0.0,0.004262789,0.0004279483,0.0,0.009602862,0.0,0.0013075282,0.0003792855,0.0013953458,0.0,0.0051717665,0.07128717,0.0055995244,0.032447185,0.31529364,0.041027617,0.0,0.0,0.018319525,0.0048413374,0.0,0.003232664,0.020022655,0.0073711835,0.007544583,0.22695823,0.019652609,0.015834045,0.041256167,0.021683784,0.0214654,0.04958914,0.052202027
Ġsupport,0.0,0.0,0.0,0.0,0.0,0.0,0.0051445384,0.009212178,0.0,0.0,0.0,0.0,0.0,0.020696023,0.010093742,0.0,0.0,0.0,0.0046878615,0.0115613425,0.008672441,0.0,0.024114007,0.0,0.0,0.0,0.0,0.022315763,0.0,0.0,0.029956603,0.018265003,0.0,0.018529434,0.045965794,0.014224308,0.038171127,0.0,0.020032141,0.09980553,0.059388462,0.024434669,0.15809542,0.078802735,0.27783087
Ġthat,0.0,0.0,0.0,0.0,0.0,0.0,0.0033230118,0.0033746385,0.0,0.0,0.0,0.0,0.0,0.005510496,0.013035264,0.0,0.056572728,0.0,0.00264972,0.010127983,0.0016738492,0.011845466,0.0062102345,0.017967124,0.012279727,0.029828481,0.0050423923,0.05349797,0.18580675,0.037881747,0.013252587,0.016485296,0.03337785,0.014951289,0.04000188,0.024024442,0.008257084,0.055574615,0.0097418325,0.022814268,0.03984199,0.041102197,0.15994935,0.019483596,0.0445141
Ġmechanism,0.0,0.0,0.0,0.0,0.0,0.0,0.0011016175,0.0011111049,0.0,0.0,0.0,0.0,0.0,0.008223275,0.0024173977,0.0,0.020649292,0.0,0.0011498061,0.0011492453,0.0018712392,0.005498253,0.01485533,0.0052170786,0.007847969,0.015038631,0.0015262052,0.013306072,0.0,0.021065777,0.017020712,0.013342825,0.013748152,0.0022715237,0.011597609,0.005159215,0.0060364576,0.014834586,0.006058082,0.017194865,0.09024838,0.0142473215,0.08835055,0.0033792472,0.57448214
orers,0.0,0.0,0.0,0.0,0.0,0.0,0.00027719754,0.00010207656,0.0,0.0,0.0,0.0,0.0,0.0,0.0005920968,0.0,0.0,0.0,0.0003428503,0.00035275085,0.0005895258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011091535,0.00109561,0.0,0.00041783394,0.002982517,0.0011962567,0.0013396379,0.0,0.0011671087,0.0054733716,0.0,0.000629345,0.015639683,0.0011776249,0.955533
Ġin,0.0,0.0,0.0,0.0,0.0,0.0,0.014064038,0.008950713,0.0,0.0,0.0,0.0,0.0,0.0,0.03139689,0.0,0.0,0.0,0.01512443,0.03137637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3161396,0.0,0.024374554,0.1204033,0.037096977,0.015277657,0.0,0.09092129,0.03179823,0.0,0.15076773,0.0,0.07494342,0.037364762
Ġreflex,0.0,0.0,0.0,0.0,0.0,0.0,0.0042913766,0.0020166633,0.0,0.0,0.0,0.0,0.0,0.0063527958,0.011264788,0.0,0.01588964,0.0,0.002813843,0.0027708,0.002864068,0.015358571,0.009534349,0.01736926,0.0057053166,0.011351391,0.0031065363,0.019356744,0.0,0.0,0.022977242,0.009123809,0.056804866,0.0059025227,0.024855725,0.009745041,0.013912558,0.024250127,0.011461464,0.042285793,0.085268386,0.024807401,0.18784161,0.0075525544,0.34316477
Ġtopical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037795962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24167892,0.0,0.047890965,0.026171925,0.0,0.046570078,0.0,0.0,0.08552376,0.0,0.45645344,0.09193139
Ġanesthesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0013549409,0.00064521254,0.0,0.0,0.0,0.0,0.0,0.0,0.0021091793,0.0,0.0,0.0,0.00081054185,0.0016470958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023689154,0.014215552,0.003397947,0.003876451,0.0,0.0025395986,0.06098146,0.0,0.0019081115,0.0,0.0061112,0.89803386
ive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32766506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45079607,0.22153893
Ġap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052581867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038475808,0.119210355,0.0,0.0,0.0,0.0,0.0,0.0,0.5757809,0.26127473
Ġof,0.0,0.0,0.0,0.0,0.0,0.0,0.003063074,0.002212674,0.0,0.0,0.0,0.0,0.0,0.0034674834,0.009330509,0.0,0.0024392058,0.0,0.0042170603,0.017032478,0.006211495,0.0,0.0031718481,0.017265806,0.0,0.0,0.0,0.010603589,0.0,0.0,0.034586478,0.0059612356,0.0,0.009759768,0.02821813,0.020244524,0.025497718,0.08793616,0.019252082,0.07811026,0.024938311,0.022030413,0.22722325,0.08374701,0.2534795
nea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016483031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089644985,0.023028478,0.0,0.010423644,0.0,0.0,0.0,0.0,0.014792088,0.941143
roph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01149247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008485715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08407242,0.0,0.120187044,0.009595165,0.0,0.043175854,0.11608373,0.0,0.18403718,0.0,0.40223086,0.020639636
.,0.0,0.0,0.0,0.0,0.0,0.0,0.001430956,0.0006078843,0.0,0.0,0.0,0.0,0.0,0.0,0.009344035,0.0,0.0,0.0,0.0024113704,0.0059762783,0.0039319573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05453001,0.015119342,0.0,0.003079712,0.037727553,0.0059069428,0.011047915,0.0,0.012153591,0.017944368,0.259424,0.008069195,0.03804055,0.021419978,0.49183443
Ġfollowing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021798532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09126829,0.07080172,0.0,0.2104668,0.0,0.0,0.17161067,0.0,0.24569525,0.18835877
Ġsn,0.0,0.0,0.0,0.0,0.0,0.0,0.005653958,0.0047601587,0.0,0.0,0.0,0.0,0.0,0.0,0.01729615,0.0,0.0,0.0,0.00522711,0.0067979456,0.016165867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026369497,0.0,0.018913615,0.1293054,0.0632748,0.036646612,0.0,0.053400632,0.014513223,0.0,0.22692756,0.13907638,0.09551303,0.1401581
struct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7205695,0.27943048
Ob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
